"","n.samp","shape_1","scale_1","initial_HR","Changepoint","gamma","rps","weibullPH","exp","gompertz","gengamma","llogis","lnorm"
"1",200,1.2,0.3,0.25,0.0671389081,0.1652743664,0.1245304806,0.1685819825,0.1618022686,0.1189552564,0.1673933884,0.3710008811,0.414584451
"2",500,1.2,0.3,0.25,0.057293462,0.171036154,0.12737224,0.174311869,0.166202361,0.129640505,0.176450124,0.376830071,0.421028933
"3",1000,1.2,0.3,0.25,0.0405214386,0.1528388145,0.0997346293,0.1544569904,0.1440201713,0.1049658435,0.1637919058,0.3623442842,0.4091730972
"4",200,0.7,0.3,0.25,0.0583934084,0.2237584676,0.3196248529,0.3111460982,0.3405062622,0.3581642505,0.3702468375,0.4972992632,0.581189845
"5",500,0.7,0.3,0.25,0.0550641678,0.1714999098,0.2699390051,0.2623239192,0.2940865252,0.3084313488,0.2381006033,0.4603429705,0.5508256551
"6",1000,0.7,0.3,0.25,0.0386701271,0.2037777528,0.2959202325,0.2897129505,0.3240021284,0.3322772069,0.3130832357,0.4826320454,0.5665950369
"7",200,1.2,0.3,0.5,0.067159161,0.100060039,0.079291061,0.100393775,0.064083663,0.169360125,0.109040236,0.289058589,0.305410556
"8",500,1.2,0.3,0.5,0.074339868,0.101414957,0.0775772,0.101710695,0.074760014,0.14727174,0.113306865,0.291440617,0.308525142
"9",1000,1.2,0.3,0.5,0.068559976,0.092126616,0.081435948,0.093218542,0.064304555,0.174324884,0.097926998,0.277915605,0.293611941
"10",200,0.7,0.3,0.5,0.0930766268,0.1928138631,0.2701271944,0.2687817687,0.3288261652,0.2768580278,0.3435475233,0.4823854483,0.553940958
"11",500,0.7,0.3,0.5,0.0802683738,0.1688343057,0.2498324403,0.2484628383,0.3060009158,0.2632412978,0.3227901401,0.4676611593,0.5427912307
"12",1000,0.7,0.3,0.5,0.089537367,0.191837102,0.263588764,0.263580344,0.32214259,0.271552965,0.317641895,0.476578126,0.548801898
"13",200,1.2,0.3,0.75,0.105065054,0.058297852,0.054133769,0.062971883,0.078234945,0.153540548,0.069004401,0.247790823,0.241258903
"14",500,1.2,0.3,0.75,0.144618481,0.088809002,0.08348657,0.086522189,0.106399091,0.145794826,0.087475446,0.249068464,0.240841464
"15",1000,1.2,0.3,0.75,0.08255156,0.09218282,0.08568629,0.09432159,0.05370534,0.18432272,0.10210387,0.26216317,0.26317028
"16",200,0.7,0.3,0.75,0.207399917,0.216558433,0.255669398,0.256509413,0.323311977,0.235928172,0.360510084,0.473659868,0.536910969
"17",500,0.7,0.3,0.75,0.155537563,0.214488953,0.276720515,0.276216038,0.349363163,0.257107278,0.304837002,0.496587487,0.554847594
"18",1000,0.7,0.3,0.75,0.227351685,0.206255404,0.247822831,0.246271619,0.322289753,0.227289347,0.30514243,0.472870892,0.534351037
