"","n.samp","shape_1","scale_1","initial_HR","Changepoint","rps","gengamma","weibullPH","gompertz","gamma","exp","llogis","lnorm"
"1",200,1.2,0.3,0.25,0.08988175,0.07665073,0.153966,0.1694777,0.1376195,0.3534173,0.5294942,0.6951401,0.9624359
"2",500,1.2,0.3,0.25,0.04079045,NA,0.0729914,0.1183991,0.1633212,0.3189892,0.5108296,0.6547304,0.9289328
"3",1000,1.2,0.3,0.25,0.027064,NA,0.04557286,0.1309426,0.1603763,0.3309506,0.5213747,0.6612489,0.9418057
"4",200,0.7,0.3,0.25,0.2002294,NA,0.6219222,0.6032883,0.5998058,0.5930279,0.5592319,0.5493052,0.6304056
"5",500,0.7,0.3,0.25,0.098913,NA,0.5652221,0.5761126,0.598226,0.5641493,0.52925,0.5219534,0.5852169
"6",1000,0.7,0.3,0.25,0.0969281,0.5596636,0.5757334,0.5851621,0.6133316,0.572263,0.5339948,0.5329222,0.6002271
"7",200,1.2,0.3,0.5,0.1540988,0.1628982,0.1653035,0.2097396,0.08253628,0.3515589,0.5137588,0.6910732,0.8563856
"8",500,1.2,0.3,0.5,0.04642685,0.1329934,0.1253815,0.1864584,0.07540837,0.3268613,0.4744634,0.6814245,0.8432815
"9",1000,1.2,0.3,0.5,0.048481,NA,0.06898666,0.1526756,0.09581031,0.3012084,0.4513122,0.6637336,0.8330924
"10",200,0.7,0.3,0.5,0.2190648,NA,0.5022356,0.4664552,0.5302921,0.4463288,0.3937195,0.4468028,0.4780635
"11",500,0.7,0.3,0.5,0.2315761,NA,0.531472,0.5548966,0.625413,0.5395103,0.4685347,0.4948353,0.5004234
"12",1000,0.7,0.3,0.5,0.1486511,0.5016839,0.4978746,0.5191484,0.5988156,0.5007039,0.4328207,0.4750514,0.4963456
"13",200,1.2,0.3,0.75,0.2862155,0.1646303,0.213338,0.1632325,0.1097198,0.2487934,0.3598371,0.6228963,0.7036609
"14",500,1.2,0.3,0.75,0.2832263,0.1303622,0.1406882,0.1437591,0.06266888,0.2445802,0.3483924,0.6293063,0.7115054
"15",1000,1.2,0.3,0.75,0.1600827,0.1381263,0.09486345,0.1708193,0.05596121,0.2776594,0.390323,0.6383169,0.7327909
"16",200,0.7,0.3,0.75,0.6346195,0.4073947,0.4085934,0.4089026,0.5033645,0.3946905,0.2959512,0.3791706,0.3800102
"17",500,0.7,0.3,0.75,0.5846102,NA,0.4991437,0.5143396,0.623309,0.4934438,0.3869369,0.4544633,0.4515177
"18",1000,0.7,0.3,0.75,0.4054214,0.46847,0.460576,0.4854341,0.5906242,0.4656821,0.3593758,0.4284181,0.4090432
