"","n.samp","shape_1","scale_1","initial_HR","Changepoint","exp","weibullPH","lnorm","gamma","gompertz","llogis","gengamma","rps"
"1",200,1.2,0.3,0.25,0.0541888031,0.1543521799,0.161854551,0.4126499719,0.1583722216,0.1189780906,0.368230154,0.1662623431,0.11768632
"2",500,1.2,0.3,0.25,0.0530335183,0.1465741486,0.1545547392,0.4067943249,0.1506562986,0.1182715984,0.3611527742,0.1591212202,0.1138177251
"3",1000,1.2,0.3,0.25,0.06439782,0.155287855,0.159089718,0.4132504775,0.1560610726,0.1119569631,0.3668559896,0.1642696868,0.1158166628
"4",200,0.7,0.3,0.25,0.050418619,0.319828026,0.289344478,0.566517941,0.203541736,0.336767066,0.479857789,0.348488173,0.297699026
"5",500,0.7,0.3,0.25,0.0577341654,0.323158489,0.2932806823,0.5691187031,0.2052998138,0.3406619837,0.4828795207,0.3561915462,0.3013871916
"6",1000,0.7,0.3,0.25,0.0629408842,0.3222238581,0.2895317747,0.5669256941,0.2021566209,0.334797294,0.4813924069,0.3495676834,0.2975005992
"7",200,1.2,0.3,0.5,0.061239829,0.059990083,0.097972049,0.311779294,0.098878065,0.148512041,0.296171734,0.112163249,0.071314117
"8",500,1.2,0.3,0.5,0.076630757,0.068115958,0.096788604,0.310411733,0.097423422,0.142087786,0.294561564,0.109492361,0.076936385
"9",1000,1.2,0.3,0.5,0.07051395,0.067089758,0.099383135,0.311167908,0.099658026,0.146744833,0.294531618,0.109839133,0.078503956
"10",200,0.7,0.3,0.5,0.09122338,0.316370516,0.260665204,0.547793988,0.183778621,0.272738061,0.473100648,0.325386728,0.262231626
"11",500,0.7,0.3,0.5,0.094974168,0.31970147,0.263195759,0.54931496,0.189032156,0.273822631,0.474906985,0.337414225,0.264868563
"12",1000,0.7,0.3,0.5,0.083331051,0.322307636,0.264927297,0.551521362,0.186728128,0.277880272,0.47766668,0.352691782,0.266571326
"13",200,1.2,0.3,0.75,0.122852307,0.092195052,0.08864042,0.238546778,0.089025784,0.162820186,0.243718364,0.091829763,0.085561696
"14",500,1.2,0.3,0.75,0.118434352,0.098822238,0.090271247,0.239206519,0.089495499,0.169386427,0.241177397,0.095888901,0.084562201
"15",1000,1.2,0.3,0.75,0.122234259,0.096432013,0.09274547,0.238888237,0.093292925,0.162685134,0.245401274,0.097567684,0.084959115
"16",200,0.7,0.3,0.75,0.172792699,0.314400966,0.240999723,0.532685447,0.182086498,0.222778582,0.468559205,0.295912982,0.239828453
"17",500,0.7,0.3,0.75,0.171797297,0.320250034,0.246739212,0.536344198,0.185871918,0.229617923,0.473444062,0.298783544,0.246291674
"18",1000,0.7,0.3,0.75,0.167689511,0.322958148,0.251849177,0.539407468,0.195477355,0.234861584,0.475074424,0.305118427,0.251453732
