"","n.samp","shape_1","scale_1","initial_HR","rps","Changepoint","gengamma","weibullPH","gompertz","gamma","exp","llogis","lnorm"
"1",200,1.2,0.3,0.25,0.07588114,0.07582163,0.134452,0.1353617,0.155727,0.3264681,0.5180711,0.6509321,0.9183602
"2",500,1.2,0.3,0.25,NA,0.05013284,0.08140109,0.1421198,0.1516162,0.3381799,0.5243862,0.6604099,0.9346495
"3",1000,1.2,0.3,0.25,NA,0.03574108,0.06494979,0.1296949,0.1577472,0.3284135,0.5169499,0.654841,0.928973
"4",200,0.7,0.3,0.25,NA,0.1943588,0.6055986,0.5811707,0.5912399,0.5719621,0.5383667,0.5256929,0.5916231
"5",500,0.7,0.3,0.25,NA,0.1320577,0.5661674,0.5623295,0.5831875,0.5499964,0.5178844,0.5150515,0.5784135
"6",1000,0.7,0.3,0.25,NA,0.08947693,0.5645007,0.5775719,0.6076245,0.5645026,0.5271011,0.5257079,0.5802254
"7",200,1.2,0.3,0.5,NA,0.1010203,0.1599689,0.1516784,0.1140303,0.2894932,0.4268524,0.6490756,0.7977191
"8",500,1.2,0.3,0.5,NA,0.06470456,0.1121427,0.1684786,0.08653091,0.3106971,0.4550129,0.6645125,0.8228051
"9",1000,1.2,0.3,0.5,0.1162161,0.04761293,0.07574067,0.1679438,0.08302605,0.3106146,0.4564306,0.6660875,0.8222951
"10",200,0.7,0.3,0.5,NA,0.3053114,0.5949753,0.5605677,0.6166146,0.5548173,0.4808004,0.4895519,0.5014119
"11",500,0.7,0.3,0.5,NA,0.1747246,0.5137798,0.5313494,0.6006672,0.5161491,0.4494892,0.4775623,0.4926221
"12",1000,0.7,0.3,0.5,NA,0.1353817,0.492679,0.5159538,0.5936487,0.4974953,0.4297217,0.4699633,0.4810754
"13",200,1.2,0.3,0.75,0.162,0.2634876,0.1830238,0.1819309,0.09789729,0.2764118,0.3887133,0.622484,0.7070664
"14",500,1.2,0.3,0.75,0.1428183,0.2269651,0.1440836,0.1581992,0.06820925,0.2620802,0.3751185,0.6238037,0.7114269
"15",1000,1.2,0.3,0.75,0.1470088,0.1345776,0.1249436,0.1660286,0.05948721,0.2712756,0.3856839,0.6306646,0.7205237
"16",200,0.7,0.3,0.75,NA,0.607356,0.4981873,0.4801133,0.5801372,0.4630498,0.3648507,0.4276506,0.4318269
"17",500,0.7,0.3,0.75,NA,0.4435369,0.4579189,0.4720989,0.5673009,0.4533545,0.3571755,0.4174703,0.4076925
"18",1000,0.7,0.3,0.75,NA,0.3584095,0.4558094,0.4732488,0.5722564,0.4536881,0.3563749,0.4174118,0.4074415
