"time"	"n.risk"	"n.event"	"n.censored"
0.545315876760165	336	0	2
1.17945767291145	334	11	3
1.80695310005253	320	3	3
2.41490038304591	314	5	2
2.88796547142018	307	9	2
3.49004831116925	296	11	2
3.95529414188444	283	12	2
4.50264217801996	269	15	2
5.10472501776903	252	10	1
5.54260344667745	241	8	1
5.84364486655198	232	8	2
6.30889069726717	222	11	2
6.91097353701624	209	14	2
7.51305637676532	193	7	2
8.11513921651439	184	11	0
8.71722205626346	173	8	0
9.31930489601252	165	9	1
9.95179595999135	155	4	0
10.5850472295759	151	4	1
11.1255534152597	146	6	0
11.7276362550088	140	5	0
12.3023516929511	135	4	0
12.9865367381205	131	5	1
13.5886195778695	125	8	0
14.1907024176186	117	8	1
14.7927852573677	108	5	0
15.4359191998269	103	2	0
16.012589452184	101	3	0
16.5990337766149	98	6	1
17.2011166163639	91	5	1
17.803199456113	85	2	0
18.4052822958621	83	5	1
18.9617527992665	77	2	1
19.6094479753602	74	1	0
20.1932858805714	73	5	0
20.8136136548584	68	4	0
21.4156964946074	64	3	0
22.0021408190384	61	3	0
22.6198621741056	58	2	0
23.2219450138547	56	2	0
23.7814563396821	54	1	0
24.4261106933528	53	4	1
25.0281935331019	48	1	1
25.7671133818848	46	1	2
26.5881354360881	43	4	1
27.1263610049547	38	1	1
27.8744033210066	36	2	1
28.4764861607556	33	2	1
29.0785690005047	30	0	1
29.4617126257996	29	1	2
30.0364280637419	26	0	4
31.3555368308285	22	3	1
31.8335541157202	18	1	2
32.5268616281585	15	1	1
33.2201691405968	13	0	1
33.7310273076566	12	0	1
34.262736828474	11	1	1
35.0055663060865	9	0	1
35.5920106305174	8	1	0
35.9204194521987	7	0	0
