"time"	"n.risk"	"n.event"	"n.censored"
0.343612933796189	322	0	1
1.03692044623451	321	6	2
1.76671782774853	313	10	1
2.35055573295975	302	5	1
2.81580156367494	296	12	1
3.33578219800369	283	8	1
3.8831302341392	274	10	1
4.57643774657753	263	12	1
5.05992851183057	250	7	2
5.85358316422707	241	13	3
6.71565632114051	225	10	1
7.27668805817942	214	9	2
8.00648543969344	203	9	0
8.59032334490467	194	9	0
9.13082953058849	185	4	0
9.87963205224611	181	6	0
10.4677271088494	175	5	0
11.0533895075145	170	6	0
11.6554723472635	164	3	0
12.2575551870126	161	5	0
12.6406988123075	156	5	0
13.7353948845785	151	6	0
14.3374777243276	145	4	0
15.0490301713037	141	6	0
15.9065420945827	135	6	0
16.3535429907601	129	3	0
17.3916797659638	126	6	0
17.9157655105635	120	5	0
18.5588994530228	115	6	0
19.2088752459337	109	5	0
19.8109580856828	104	8	0
20.5225105326589	96	3	1
21.1861700264732	92	3	1
21.7266762121571	88	2	1
22.5750656681671	85	3	1
23.2592507133365	81	2	1
23.9238876143582	78	5	1
24.6823556072889	72	5	2
25.3391732506515	65	3	2
25.9777459594763	60	1	2
26.5250939956118	57	1	2
27.1043706671885	54	4	1
27.5833001988071	49	1	2
28.229170881447	46	3	2
28.7874658783053	41	3	3
29.6221716334119	35	0	2
30.3063566785813	33	0	1
30.5937143975525	32	1	6
32.235758505959	25	1	4
34.4642469387965	20	1	1
35.0819682938637	18	2	0
35.5526876049403	16	0	0
