"time"	"n.risk"	"n.event"	"n.censored"
2.87171832647335	322	0	8
16.9588597166894	314	4	6
27.8821678859206	304	4	5
37.2198023058674	295	13	0
37.9043263142546	282	9	2
40.3375187745869	271	6	2
43.0965686974571	263	8	1
43.6381980016901	254	9	3
47.5907526244434	242	5	9
58.6532353731536	228	3	10
70.9782775193569	215	3	4
78.0005617544278	208	5	2
80.4555845317068	201	8	3
84.4790839061507	190	6	2
88.2662025419634	182	8	7
99.1309223697681	167	3	3
107.486820523021	161	5	5
117.796530854587	151	3	3
125.066387207461	145	4	0
127.253335542173	141	8	1
129.536878604809	132	5	3
136.282074576459	124	6	4
146.126977836809	114	2	1
148.79907654523	111	4	3
158.466940821296	104	2	3
164.305389108718	99	4	2
168.217277296139	93	5	2
170.668865970743	86	6	3
176.846706545869	77	4	5
186.262868670272	68	1	2
193.653665097062	65	3	3
202.936409526492	59	1	3
211.237463468124	55	3	0
213.335133682687	52	5	1
220.620550587574	46	2	3
229.646061327721	41	1	1
234.503871770363	39	1	2
244.549239651024	36	0	0
245.649667332629	36	3	0
251.657280048582	33	3	1
256.167520271364	29	3	1
262.748637979366	25	2	0
268.941846436422	23	0	2
288.361710581618	21	1	1
295.627331144077	19	2	1
302.537243631464	16	2	2
312.013437151211	12	1	0
333.8486472365	11	1	0
343.982418825839	10	1	0
354.133569057075	9	1	0
374.955957115058	8	0	0
386.312057493363	8	1	0
409.831806361179	7	0	0
421.120794151427	7	1	0
429.244871825975	6	0	0
463.666785551674	6	1	0
472.132315585448	5	0	1
491.11244771573	4	1	3
504.820739014843	0	0	0
