"time"	"n.risk"	"n.event"	"n.censored"
0.418812853268374	211	0	1
1.04575739900391	210	0	1
1.64951393623754	209	1	0
2.25339933064417	208	0	2
2.85716704542385	206	1	2
3.46098615673013	203	1	2
4.06463571248471	200	2	0
4.66791436546991	198	3	1
5.27116652540017	194	4	1
5.87464122699204	189	2	0
6.4783013799686	187	2	1
7.08133629684822	184	4	2
7.68475801233019	178	3	1
8.28753329727126	174	6	1
8.89074306831358	167	4	1
9.49412486759274	162	2	1
10.0975494090005	159	3	0
10.6458055192521	156	4	0
11.1936306758097	152	6	1
11.7973014260083	145	1	0
12.400818516488	144	2	0
13.0041766486381	142	3	0
13.6072168641287	139	5	0
14.2106703712766	134	2	1
14.8139702187058	131	3	1
15.4176674619593	127	2	1
16.0208878302236	124	3	0
16.6238856568263	121	5	0
17.2271961014775	116	3	1
17.8306443100144	112	2	0
18.4344740185426	110	1	0
19.0380229006884	109	2	0
19.6414393175594	107	2	0
20.2450040955381	105	2	0
20.8485900679608	103	2	0
21.4523667903791	101	0	0
22.0563130683492	101	0	2
22.6600156102137	99	2	3
23.263818825687	94	0	2
23.8674630828306	92	2	2
24.4708653700722	88	2	10
25.0746000568434	76	1	11
25.6783873764837	64	0	11
26.2823421322314	53	0	10
26.885865164725	43	1	10
27.4892268923611	32	1	10
28.0931583342203	21	0	4
28.6971194483012	17	0	5
29.3010402929385	12	0	5
29.9050289597965	7	0	4
30.5089646405446	3	0	1
30.92076738815	2	0	0
