"time"	"n.risk"	"n.event"	"n.censored"
0.256592130496079	352	0	2
0.777870136728477	350	2	2
1.29923312551796	346	0	2
1.82064110507297	344	0	2
2.341916111921	342	2	0
2.86316479083958	340	0	1
3.38468341435127	339	0	1
3.90585810845544	338	2	0
4.42695115265181	336	3	1
4.94794421736925	332	5	1
5.46876231799856	326	6	1
5.98943044940947	319	7	1
6.51036352643955	311	5	2
7.03095167426731	304	8	3
7.5519497379587	293	4	3
8.07282282730141	286	5	0
8.5935309505039	281	7	0
9.11420408088875	274	7	0
9.63465725641996	267	9	0
10.1558002903558	258	3	0
10.6769183294219	255	2	0
11.1976164546764	253	7	0
11.7186195173418	246	4	0
12.2398625307565	242	2	0
12.7609905677705	240	2	0
13.281793671478	238	6	0
13.8027617413257	232	4	0
14.3239647629489	228	2	0
14.8449778235621	226	4	0
15.3661308554459	222	3	0
15.8872388965641	219	2	0
16.4081319818026	217	5	1
16.9292800147124	211	3	1
17.4707107892947	207	3	0
17.9709762036584	204	8	1
18.4921892232294	195	1	6
19.0134222386963	188	2	6
19.5345902675019	180	2	5
20.0557582963075	173	2	9
20.576926325113	162	2	10
21.0980293672573	150	2	10
21.6194023539947	138	1	9
22.1407353489405	128	0	15
22.6618833818503	113	2	15
23.1829564301509	96	1	15
23.704164450748	80	1	11
24.110918474459	68	3	6
24.6512050680146	59	1	7
25.1725100687063	51	0	6
25.6935911153652	45	1	6
26.2149221107214	38	0	5
26.7362840997161	33	0	6
27.2575701043069	27	0	6
27.7789780838619	21	0	5
28.3003810644429	16	0	3
28.821784045024	13	0	4
29.3432070215008	9	0	3
29.8646299979777	6	0	0
29.8646299979777	6	0	0
