"time"	"n.risk"	"n.event"	"n.censored"
0.296052241712359	563	0	4
1.10667299660859	559	1	4
1.87692642023792	554	1	4
2.74287547589926	549	0	4
3.47070207953042	545	3	4
4.23750619139168	538	9	4
4.94630895092066	525	8	3
5.50246357855903	514	12	3
6.17888256345143	499	6	0
6.42072067665782	493	9	0
6.85582729483265	484	1	1
7.26037273392288	482	10	0
7.87713531020242	472	8	1
8.27469721683326	463	11	1
9.02345894480429	451	12	0
9.44802763190873	439	13	1
10.103288525861	425	6	0
10.7743375297634	419	11	1
11.1948350053965	407	9	1
11.9629434885711	397	6	0
12.7523737668613	391	7	0
13.430179271488	384	14	0
14.258130327579	370	8	1
14.89063245836	361	10	0
15.6932514660157	351	4	1
16.4256949902221	346	14	0
17.2351005278001	332	7	1
17.9881124207224	324	10	0
18.7779826428192	314	5	0
19.5675351277223	309	6	1
20.357234260561	302	6	1
21.405549357032	295	6	1
22.5114516979852	288	5	0
23.1834182662998	283	9	1
23.9297746645684	273	4	0
24.673400740455	269	4	1
25.527030226078	264	2	1
26.3165256812284	261	7	2
27.1693936519182	252	7	1
27.864286012666	244	2	2
28.6307355637008	240	1	1
29.4771879002073	238	0	1
30.2673514181751	237	3	0
31.0575964072183	234	2	0
31.9104873789083	232	6	1
32.6375649704226	225	1	0
33.4279321660787	224	1	0
34.2184623038854	223	1	1
35.0704158131023	221	1	0
35.7990453305156	220	3	0
36.5279339320739	217	0	0
37.4040026662016	217	1	1
38.2197440178134	215	4	1
38.906145492509	210	3	0
39.7503890519831	207	1	1
40.5405041399228	205	3	1
41.3311397375103	201	0	0
42.1213602852309	201	2	0
42.9114260379083	199	3	0
43.7632003107596	196	3	0
44.4689819082989	193	3	0
45.2822995058658	190	0	1
46.072023080027	189	5	0
46.8620888327045	184	3	0
47.6526678531563	181	0	0
48.5102690537	181	2	0
49.2128307979564	179	1	0
49.9622500492327	178	0	1
50.8144054903291	177	1	0
51.6048785983831	176	0	0
52.3952457940391	176	2	1
53.1854337533296	173	2	0
53.9757031836953	171	2	0
54.7661762917493	169	1	0
55.5566331055882	168	1	1
56.3472447144701	166	0	0
57.1378563233521	166	0	1
57.9779302754471	165	1	0
58.7012668603964	164	2	1
59.5761758925631	161	0	0
60.2995410043259	161	1	6
61.0821168494813	154	0	7
61.935974001498	147	3	7
62.6704959433586	137	1	6
63.4610912580255	130	0	7
64.2517028669075	123	0	7
65.0423144757895	116	0	7
65.8328323929348	109	0	6
66.6233584571877	103	1	11
67.4139700660697	91	0	11
68.1532176535954	80	0	6
68.5581642407421	74	2	10
69.2819714688735	62	0	12
70.0725830777555	50	0	12
70.8631946866375	38	0	11
71.6538062955195	27	0	11
72.4331189382458	16	0	2
73.2350295132834	14	0	2
74.0359237417614	12	0	3
74.8165663946872	9	0	2
75.6071780035692	7	0	2
76.3205195349597	5	0	0
