"time"	"n.risk"	"n.event"	"n.censored"
0.189451923076921	211	0	3
0.801669871794873	208	2	3
1.40233653846153	203	0	2
1.84417307692307	201	3	2
2.28600961538461	196	7	2
2.85779807692307	187	1	3
3.37760576923076	183	2	1
3.68949038461538	180	6	1
3.76746153846153	173	8	1
4.10533653846154	164	8	0
4.677125	156	1	1
5.1709423076923	154	3	1
5.48282692307692	150	6	0
5.62577403846154	144	7	0
6.028625	137	6	0
6.704375	131	4	0
7.14621153846153	127	3	0
7.380125	124	6	0
7.64002884615384	118	8	0
8.33527163461538	110	3	0
8.88756730769231	107	1	0
9.35539423076923	106	6	1
9.92718269230769	99	3	0
10.4989711538461	96	2	0
10.9927884615384	94	1	0
11.5039326923076	93	7	0
11.7984903846153	86	2	0
13.0044442307692	84	2	0
13.5658365384615	82	1	1
13.9037115384615	80	0	0
14.6314423076923	80	2	1
15.5930865384615	77	5	1
16.2233533653846	71	3	0
16.7366634615384	68	0	0
17.3084519230769	68	0	0
17.8802403846153	68	0	0
18.4260384615384	68	2	0
19.1277788461538	66	3	0
19.6995673076923	63	0	0
20.1414038461538	63	0	0
21.2589903846153	63	1	0
21.8307788461538	62	1	0
22.4025673076923	61	0	8
22.9743557692307	53	0	8
23.5461442307692	45	0	7
24.0979400887574	38	3	1
24.6689288461538	34	1	1
25.157548076923	32	1	2
25.7293365384615	29	1	2
26.6130096153846	26	0	6
27.184798076923	20	1	7
27.7565865384615	12	0	6
28.328375	6	0	1
28.9001634615384	5	0	1
29.4199711538461	4	0	0
