"time"	"n.risk"	"n.event"	"n.censored"
0.159656652360515	352	0	9
0.6758226037196	343	3	9
1.19198855507868	331	2	9
1.69732585011555	320	5	5
2.03662374821173	310	11	0
2.55278969957081	299	0	1
3.0689556509299	298	4	0
3.49127324749642	294	5	1
3.69982514703544	288	12	0
3.85623907168971	276	10	0
4.33590844062947	266	5	1
4.85207439198855	260	4	0
5.29785407725321	256	6	1
5.5465522174535	249	12	0
5.83748211731044	237	10	1
6.35364806866953	226	1	0
6.86981402002861	225	4	1
7.26866952789699	220	9	0
7.57367668097281	211	9	0
8.0898426323319	202	4	1
8.60600858369098	197	2	1
9.05178826895565	194	5	1
9.49756795422031	188	12	1
10.0137339055794	175	4	0
10.5298998569384	171	1	0
11.0038340486409	170	5	0
11.3641074550945	165	8	0
11.8437768240343	157	1	0
12.3599427753934	156	2	0
12.9199046256556	154	8	0
13.3727229375298	146	4	1
13.9084406294706	141	2	0
14.4246065808297	139	1	0
14.9407725321888	138	1	1
15.4569384835479	136	3	0
15.8980257510729	133	8	0
16.3954220314735	125	1	0
16.9115879828326	124	4	1
17.4277539341917	119	3	0
17.9439198855507	116	1	0
18.4600858369098	115	4	4
18.9762517882689	107	1	4
19.492417739628	102	0	4
20.0085836909871	98	1	9
20.5247496423462	88	2	9
21.0409155937052	77	2	9
21.5570815450643	66	2	8
22.0732474964234	56	0	6
22.5894134477825	50	0	7
23.1055793991416	43	0	6
23.6217453505007	37	1	6
24.1379113018598	30	2	0
24.6540772532188	28	0	1
25.1702432045779	27	0	1
25.686409155937	26	0	0
26.2025751072961	26	1	5
26.7187410586552	20	0	6
27.2349070100143	14	0	5
27.7510729613733	9	0	5
28.2672389127324	4	0	1
28.7834048640915	3	0	2
29.2995708154506	1	0	1
29.5811158798283	0	0	0
