"time"	"n.risk"	"n.event"	"n.censored"
0.301974473892494	563	0	5
1.12011450108547	558	1	4
1.72265116706071	553	3	1
1.95120234420762	549	15	7
2.98151853246455	527	14	4
3.50460203401263	509	11	1
3.72042539473898	497	19	0
3.72202905471268	478	15	2
4.02734867391054	461	13	5
4.79697666988438	443	10	4
5.38358600215007	429	11	1
5.51247500957676	417	12	1
5.64727480340466	404	16	1
5.82938747578634	387	12	4
6.54666868210888	371	7	1
7.08336500880372	363	10	1
7.29627646063046	352	12	0
7.51165437839253	340	14	2
7.97801794424864	324	12	1
8.62757262443041	311	3	2
9.13204511472872	306	9	1
9.469136955336	296	18	2
10.2642303622023	276	7	2
10.9151338850262	267	5	1
11.3973755527326	261	16	2
12.198782054497	243	5	0
12.8216949811499	238	10	0
14.0631246870699	228	9	1
14.8528326174818	218	4	0
15.5555426718316	214	7	1
16.6448856606876	206	14	0
17.4345935910996	192	4	0
18.2243132759163	188	4	2
19.0136803285897	182	6	2
19.8038584351926	174	2	2
20.6432368634443	170	5	1
21.2856640395632	164	3	3
22.3986761565829	158	5	3
23.2508376354977	150	1	1
24.0156438593935	148	7	0
24.9727874086247	141	5	1
25.7630830592754	135	2	0
26.5852273795632	133	4	1
27.3432159387905	128	1	1
28.1338994847988	126	1	0
28.9857286048469	125	2	1
29.6472077895404	122	2	0
30.5349149352569	120	0	0
31.2280165963067	120	2	0
32.13541262244	118	1	0
32.8086152930878	117	3	0
33.7296882847683	114	1	0
34.4070471888408	113	1	0
35.0207307979803	112	5	0
35.8702708876319	107	2	0
36.5432012204539	105	3	1
37.3975873083574	101	1	2
38.141773313856	98	0	1
38.9823922839039	97	0	2
39.7731228475313	95	0	2
40.6187073001092	93	0	1
41.286576906892	92	0	1
42.1447738357937	91	3	0
42.9354338729924	88	1	0
43.7925452336364	87	3	1
44.5233685840138	83	0	0
45.3365815605043	83	0	0
46.0647732053391	83	0	1
46.8879817770803	82	0	0
47.6787899197792	82	1	0
48.4695369395733	81	0	0
49.3099172047858	81	1	0
49.9892463013419	80	0	1
50.903136999402	79	0	1
51.5641256965728	78	3	0
52.2491893038239	75	0	0
53.0690355280792	75	0	1
53.9263841807696	74	3	0
54.6094463557243	71	0	1
55.3728136445689	70	0	2
56.2313230447308	68	0	2
57.0539844489298	66	0	1
57.7805483699122	65	0	2
58.6036910516845	63	0	2
59.4575019742554	61	1	1
60.1289027809329	59	0	3
60.9760590586383	56	0	4
61.7852768263653	52	0	3
62.5542831534224	49	0	3
63.2865577560581	46	0	4
64.1391458748145	42	0	4
64.9965378718725	38	1	3
65.7197879056523	34	0	3
66.531800601539	31	0	3
67.2688854446438	28	0	3
68.0458738717833	25	1	7
69.5230143267106	17	1	3
70.1796091084331	13	0	4
71.0377872111743	9	0	4
71.828595372986	5	0	3
72.6827481851523	2	0	2
73.4501204332741	0	0	0
