"time"	"n.risk"	"n.event"	"n.censored"
0.237106965726411	352	0	14
0.80978984360382	338	3	15
1.38235843416085	320	3	13
1.91797738981628	304	8	2
1.99973450751163	294	9	4
2.16033943519983	281	13	3
2.73275564266303	265	5	4
3.30474191211151	256	8	2
3.65080277665211	246	10	0
3.75153321384765	236	8	0
3.78514127737996	228	10	2
4.11582723324269	216	14	1
4.70556159791115	201	5	1
5.19979456380362	195	4	1
5.51080647415443	190	13	0
5.66537236509865	177	14	1
6.1593779468433	162	7	0
6.731742997125	155	4	1
7.22574928182737	150	7	0
7.50422363349356	143	11	1
7.800683485519	131	7	0
8.1868839905228	124	2	0
8.75939271629297	122	3	0
9.14390859610722	119	8	0
9.42114940828809	111	11	0
10.0068551449134	100	2	0
10.579494484764	98	2	1
11.0478089377341	95	4	1
11.5154096780504	90	9	0
12.0880707869144	81	2	0
12.6608080873253	79	1	1
13.2328324525472	77	8	1
13.8055534261981	68	1	0
14.3784376674495	67	0	2
14.9513436777143	65	0	1
15.5032910260989	64	1	2
16.0965298391085	61	4	0
16.6694031958532	57	0	0
17.242309206118	57	0	0
17.8152097741295	57	0	0
18.3877184998996	57	3	1
18.9603088594701	53	2	1
19.5332148697349	50	0	1
20.1061208799997	49	0	5
20.6789180451974	44	1	6
21.2514703089944	37	2	6
21.824000803778	29	1	5
22.396879602776	23	0	4
22.9695679229068	19	1	6
23.5423705303579	12	0	4
24.1149881011951	8	1	0
24.6878723424465	7	0	1
25.2607837949647	6	0	2
25.8336952474828	4	0	0
26.4065958154943	4	0	2
26.7972380399058	2	0	0
