"time"	"n.risk"	"n.event"	"n.censored"
0.238399732090073	690	0	1
1.08557921238949	689	34	1
1.96362984186613	654	28	0
2.52123479276589	626	21	1
3.25297832958559	604	24	1
3.77914189791016	579	23	1
4.55159469026176	555	21	1
5.38115527456694	533	20	0
5.96028550865235	513	18	1
6.77817269788958	494	23	0
7.59635002950628	471	20	1
8.32350209771139	450	19	1
8.91378381598928	430	19	1
9.45850799957407	410	20	0
10.048719772814	390	20	1
10.8671657373373	369	17	1
11.8225445862627	351	17	1
12.8156348558154	333	18	0
13.7788829925162	315	14	0
14.780873214706	301	8	0
15.7827843071559	293	9	0
16.7844085542988	284	11	0
17.7861317136165	273	10	0
18.787686722237	263	11	0
19.7899440072988	252	6	1
20.7919540119235	245	7	0
21.7938749955909	238	9	1
22.7959047826505	228	7	1
23.7980433731025	220	7	0
24.8003501142517	213	5	0
25.8020930560044	208	10	1
26.8191772760724	197	8	1
27.8414152769664	188	5	0
28.8086967604925	183	5	1
29.810825459727	177	6	0
30.8129343765266	171	7	0
31.8153103561981	164	5	0
32.8180523109166	159	1	1
33.8205272027629	157	4	0
34.8229922033919	153	4	1
35.8258627439375	148	0	0
36.8585116189823	148	6	0
37.8301794897114	142	7	1
38.8022842225461	134	3	0
39.8352875328839	131	3	1
40.8379701402975	127	2	1
41.8404944882313	124	3	0
42.8431375307749	121	3	0
43.8458794854933	118	1	0
44.8485719841243	117	2	1
45.8514820895399	114	1	0
46.8539965462562	113	3	0
47.8567582834096	110	1	0
48.859520020563	109	2	0
49.824294536975	107	1	1
50.8651621894795	105	1	0
51.8679140354154	104	1	0
52.8705471867415	103	3	1
53.873536421897	99	0	0
54.8764168536602	99	0	1
55.8793467415107	98	0	1
56.8822865205788	97	0	1
57.8852065172119	96	0	1
58.8879682543653	95	2	1
59.8907102090837	92	1	1
60.8445172674649	90	0	5
61.8961050975632	85	3	6
62.8993515043732	76	0	6
63.9020538942217	70	0	5
64.9046573718954	65	2	6
65.9073300880914	57	1	5
66.9022653994118	51	0	1
67.9128139975282	50	2	1
68.9154273664194	47	1	1
69.9310060018834	45	2	1
70.8658913786101	42	1	0
71.6500918286625	41	0	0
