"time"	"n.risk"	"n.event"	"n.censored"
0.119573073998629	151	0	0
0.408556757851315	151	1	0
0.719860319725144	150	3	1
1.00273540538257	146	4	0
1.25710369946211	142	6	1
1.57506406706155	135	6	0
1.81823326444978	129	4	0
2.03391376995935	125	6	0
2.12601263505712	119	6	0
2.20166527424457	113	7	1
2.30280956359301	105	3	0
2.66462653361995	102	1	0
2.91954303522984	101	1	1
3.62261919289583	99	1	0
3.922175450548	98	3	0
4.11600597020529	95	3	1
4.17767931736897	91	5	0
4.32569535056181	86	5	1
5.09044485539148	80	1	1
5.456373381896	78	3	1
5.71598880519456	74	3	0
5.9485854287833	71	1	0
6.14711487012926	70	3	0
6.23756911263599	67	6	0
6.29307512508331	61	7	1
6.36091580696336	53	7	1
6.61113338688459	45	6	1
6.85430258427282	38	0	2
7.25175304377211	36	0	2
7.64372142796797	34	0	2
7.99183320973631	32	1	1
8.21933933482901	30	0	1
8.38791315040974	29	3	1
8.54303096297295	25	3	1
8.79084568521247	21	1	2
9.19788977649278	18	0	0
9.61726853720583	18	0	1
10.0366472979188	17	0	0
10.3608728944365	17	0	1
10.5522364802072	16	2	0
10.7643927944503	14	1	1
10.9987515136723	12	1	0
11.3441222577889	11	1	1
11.7511663490692	9	0	0
12.182879779215	9	0	0
12.5352989058646	9	1	1
12.8736212674483	7	1	0
13.2806653587286	6	0	1
13.7123787888743	5	0	0
14.0741957589013	5	2	1
14.5017976325695	2	0	1
14.9211763932825	1	0	0
15.3405551539956	1	0	0
15.7475992452759	1	0	1
16.1669780059889	0	0	0
