"time"	"n.risk"	"n.event"	"n.censored"
0.272671193498765	151	0	0
0.65572354211663	151	3	1
0.869084948024302	147	3	0
1.09367590161132	144	5	1
1.31826685519834	138	5	0
1.61023509486147	133	4	1
1.99203971595941	128	4	1
2.14925338347033	123	9	0
2.4906316329226	114	5	1
3.01767173734015	108	2	0
3.36204453284025	106	0	0
3.78876734465559	106	3	0
3.9459810121665	103	2	0
4.10319467967742	101	4	0
4.14811287039482	97	5	0
4.19303106111223	92	6	0
4.26040834718833	86	6	1
4.53740385661233	79	2	0
5.00476693621961	77	1	0
5.56303587799307	76	3	0
6.00323414702363	73	3	0
6.19189054803673	70	5	0
6.25926783411284	65	4	0
6.30418602483024	61	10	0
6.37156331090635	51	4	0
6.7028349674472	47	5	0
7.02287707630871	42	1	1
8.23566822567863	40	2	0
8.50838581217716	38	5	0
8.99179110275494	33	2	0
9.31370480289634	31	0	0
9.89015491710303	31	2	1
10.4411513899031	28	2	0
10.9232733036033	26	3	0
11.2676460991034	23	0	1
11.9014916792268	22	3	0
12.3506735864008	19	2	0
12.8060941311745	17	5	1
13.2215873953105	11	1	1
13.8953602560715	9	0	1
14.476801280358	8	1	1
14.8835604518544	6	1	1
15.6022515033329	4	0	0
16.3434016501701	4	0	0
17.107010892366	4	0	1
17.8706201345618	3	0	0
18.6342293767577	3	0	0
19.3753795235949	3	0	0
20.1389887657908	3	0	0
20.9250571033454	3	0	0
21.6437481548238	3	0	0
22.4298164923784	3	0	0
23.1485075438569	3	0	1
23.9345758814114	2	0	0
24.6981851236073	2	0	0
25.4617943658032	2	0	1
26.2029445126404	1	0	0
26.9665537548363	1	0	0
27.7077039016734	1	0	0
28.493772239228	1	0	0
29.2349223860652	1	0	0
29.9985316282611	1	0	0
30.7621408704569	1	0	0
