"time"	"n.risk"	"n.event"	"n.censored"
0.193581090595049	154	0	0
0.464943818115255	154	4	1
0.73630654563546	149	2	0
1.00766927315566	147	4	1
1.27903200067587	142	2	1
1.55039472819607	139	4	0
1.79708811685081	135	3	1
1.95743881947638	131	4	0
2.04378150550554	127	6	0
2.14245886096743	121	6	1
2.34474743966431	114	7	0
2.61117629941142	107	1	1
2.88253902693163	105	1	0
3.15390175445183	104	1	0
3.42526448197204	103	0	0
3.69662720949225	103	0	1
3.96798993701245	102	2	0
4.23935266453266	100	3	0
4.51071539205286	97	2	1
4.78207811957307	94	0	0
5.05344084709327	94	0	0
5.32480357461348	94	1	1
5.59616630213369	92	2	0
5.86752902965389	90	1	0
6.1388917571741	89	2	2
6.4102544846943	85	1	3
6.68161721221451	81	2	3
6.95297993973472	76	1	3
7.22434266725492	72	1	3
7.49570539477513	68	1	3
7.76706812229533	64	0	3
8.03843084981554	61	1	3
8.30157046438059	57	1	3
8.58115630485595	53	3	3
8.85251903237616	47	1	2
9.12388175989636	44	0	1
9.39524448741657	43	0	2
9.66660721493677	41	0	2
9.93796994245698	39	0	2
10.2093326699771	37	0	2
10.4947921625633	35	1	2
10.7417792338236	32	1	2
11.0234208525378	29	0	2
11.294783580058	27	0	2
11.5661463075782	25	0	2
11.8375090350984	23	0	1
12.1088717626186	22	0	1
12.3864018248552	21	0	2
12.651597217659	19	0	1
12.9229599451792	18	0	2
13.1943226726994	16	0	1
13.3670080447577	15	0	1
13.4903547390851	14	1	2
13.7617174666053	11	0	1
14.0330801941255	10	0	2
14.292108252213	8	0	1
14.526466971435	7	1	2
14.7978296989552	4	0	1
15.0691924264754	3	0	0
15.3405551539956	3	0	1
15.6119178815158	2	0	1
15.883280609036	1	0	0
16.1546433365562	1	0	1
16.4260060640764	0	0	0
16.586356766702	0	0	0
