"time"	"n.risk"	"n.event"	"n.censored"
0.03	136	0	1
0.0684961789009772	135	1	1
0.100062435906145	133	5	1
0.132652037901506	127	5	1
0.170437083693229	121	3	1
0.205017147922261	117	4	1
0.228295435061805	112	5	1
0.256634219405597	106	4	1
0.296308517486906	101	6	2
0.35581996460887	93	6	0
0.377074052866714	87	5	0
0.405412837210506	82	4	0
0.434460091162893	78	4	0
0.483988557436475	74	4	0
0.525262279331127	70	5	0
0.589024544104659	65	5	0
0.639207808046791	60	3	0
0.758230702290718	57	8	0
0.786097173562114	49	3	0
0.796097173562114	46	4	1
0.895507107626676	41	6	1
0.961375040586744	34	2	0
1.03867567196986	32	2	0
1.11093048910283	30	1	1
1.19181410275073	28	3	1
1.26974575969616	24	1	0
1.34767741664159	23	2	0
1.43008361848341	21	2	0
1.55313360313408	19	2	0
1.63106526007951	17	1	0
1.70899691702494	16	0	0
1.78692857397037	16	0	0
1.8648602309158	16	0	0
1.94279188786123	16	1	0
2.02017856818466	15	0	0
2.08752579618222	15	2	1
2.16241746652562	12	1	1
2.24034912347104	10	2	1
2.31828078041647	7	0	0
2.39940055060058	7	1	0
2.47414409430733	6	0	0
2.55207575125276	6	0	1
2.63000740819819	5	0	0
2.70793906514361	5	0	0
2.78587072208904	5	0	0
2.86380237903447	5	0	0
2.9417340359799	5	0	0
3.01966569292533	5	0	0
3.09759734987076	5	0	1
3.17552900681619	4	0	0
3.25346066376161	4	0	1
3.33139232070704	3	0	0
3.40932397765247	3	0	0
3.4872556345979	3	0	1
3.60769546805902	2	1	0
3.68562712500444	1	0	0
3.76355878194987	1	0	1
3.8414904388953	0	0	0
3.92493241501869	0	0	0
3.99074136977261	0	0	0
