"time"	"n.risk"	"n.event"	"n.censored"
0.03	540	0	2
0.0646819373804963	538	10	2
0.109380321372229	526	16	2
0.142210641021515	508	16	4
0.203173563308544	488	28	2
0.231435212894966	458	19	2
0.267143476680258	437	15	2
0.301812458105093	420	15	2
0.338143543412157	403	11	0
0.3948919346085	392	12	1
0.425419832106224	379	17	0
0.449271074636738	362	11	1
0.489850114926414	350	8	1
0.525525366271505	341	9	1
0.578717374414398	331	16	1
0.642151957653599	314	12	0
0.684516184308419	302	15	2
0.748156639543064	285	12	3
0.792144834855284	270	12	2
0.8400619987182	256	8	3
0.910656131606196	245	11	2
0.95451551080609	232	8	5
1.06637539290875	219	19	4
1.14421700268027	196	9	4
1.22353035754742	183	10	4
1.29274985949655	169	12	4
1.36978907980038	153	9	1
1.42806043288458	143	7	3
1.49799170590135	133	3	2
1.57584947623504	128	6	3
1.65664675380241	119	7	2
1.73158089719192	110	3	3
1.80943658859213	104	6	4
1.88730762014779	94	5	4
1.965185077436	85	4	3
2.05009640699071	78	7	2
2.12798911375293	69	3	2
2.20590708109422	64	0	2
2.28383417483827	62	0	2
2.36176713555552	60	1	6
2.51763044944637	53	0	3
2.59553994227081	50	1	3
2.67346303778127	46	0	1
2.75139000114814	45	0	2
2.82931261860893	43	1	1
2.9072424502738	41	0	2
2.98515498523249	39	1	1
3.06473339601266	37	1	2
3.14097663274884	34	0	3
3.21890828969427	31	0	3
3.29683120348037	28	1	2
3.36849797307672	25	0	3
3.45264996885729	22	1	3
3.53055424659444	18	0	3
3.60848590353987	15	0	3
3.6864175604853	12	0	1
3.76434921743072	11	0	1
3.84228087437615	10	0	1
3.92021253132158	9	0	1
3.99814418826701	8	0	0
4.07607584521244	8	0	3
4.15400750215787	5	0	3
4.23193915910329	2	0	2
4.30987081604872	0	0	0
